Date,Return
08/19/2014,0.807
08/18/2014,1.514
08/15/2014,-0.204
08/14/2014,-0.023
08/13/2014,2.141
08/12/2014,-0.907
08/11/2014,-0.156
08/08/2014,0.96
08/07/2014,-0.532
08/06/2014,0.231
08/05/2014,-1.41
08/04/2014,1.251
08/01/2014,-0.967
07/31/2014,-2.693
07/30/2014,0.309
07/29/2014,-0.845
07/28/2014,0.268
07/25/2014,-0.73
07/24/2014,-0.441
07/23/2014,0.208
07/22/2014,0.894
07/21/2014,-0.943
07/18/2014,3.721
07/17/2014,-1.533
07/16/2014,-0.363
07/15/2014,-0.015
07/14/2014,0.982
07/11/2014,1.415
07/10/2014,-0.864
07/09/2014,0.874
07/08/2014,-1.917
07/07/2014,-0.424
07/03/2014,0.411
07/02/2014,-0.057
07/01/2014,1.285
06/30/2014,-0.34
06/27/2014,0.215
06/26/2014,-0.458
06/25/2014,2.485
06/24/2014,-0.058
06/23/2014,1.544
06/20/2014,0.263
06/19/2014,0.276
06/18/2014,1.908
06/17/2014,-0.233
06/16/2014,-1.356
06/13/2014,0.074
06/12/2014,-1.34
06/11/2014,-0.305
06/10/2014,-0.279
06/09/2014,1.041
06/06/2014,0.439
06/05/2014,1.696
06/04/2014,-0.051
06/03/2014,-1.623
06/02/2014,-1.065
05/30/2014,-0.034
05/29/2014,-0.285
05/28/2014,-0.754
05/27/2014,2.397
05/23/2014,1.402
05/22/2014,1.136
05/21/2014,1.731
05/20/2014,0.172
05/19/2014,1.581
05/16/2014,0.125
05/15/2014,-1.267
05/14/2014,-1.208
05/13/2014,0.598
05/12/2014,2.157
05/09/2014,1.513
05/08/2014,0.204
05/07/2014,-1.006
05/06/2014,-2.4
05/05/2014,-0.023
05/02/2014,-0.644
05/01/2014,0.891
04/30/2014,-0.197
04/29/2014,2.04
04/28/2014,0.188
04/25/2014,-1.71
04/24/2014,-0.338
04/23/2014,-1.472
04/22/2014,1.171
04/21/2014,-1.395
04/17/2014,-3.673
04/16/2014,3.747
04/15/2014,0.736
04/14/2014,0.362
04/11/2014,-1.913
04/10/2014,-4.111
04/09/2014,1.665
04/08/2014,3.113
04/07/2014,-0.919
04/04/2014,-4.669
04/03/2014,0.483
04/02/2014,-0.028
04/01/2014,1.83
03/31/2014,-0.539
03/28/2014,0.274
03/27/2014,-1.231
03/26/2014,-2.309
03/25/2014,0.068
03/24/2014,-2.122
03/21/2014,-1.179
03/20/2014,-0.174
03/19/2014,-0.992
03/18/2014,1.607
03/17/2014,1.646
03/14/2014,-1.367
03/13/2014,-1.511
03/12/2014,0.609
03/11/2014,-0.956
03/10/2014,-0.265
03/07/2014,-0.395
03/06/2014,0.111
03/05/2014,0.276
03/04/2014,1.016
03/03/2014,-1.066
02/28/2014,-0.292
02/27/2014,-0.079
02/26/2014,0.014
02/25/2014,0.618
02/24/2014,0.724
02/21/2014,-0.027
02/20/2014,0.147
02/19/2014,-0.705
02/18/2014,0.672
02/14/2014,0.242
02/13/2014,1.113
02/12/2014,-0.293
02/11/2014,1.471
02/10/2014,-0.383
02/07/2014,1.507
02/06/2014,1.466
02/05/2014,0.443
02/04/2014,0.417
02/03/2014,-4.026
01/31/2014,4.014
01/30/2014,2.572
01/29/2014,-1.433
01/28/2014,1.978
01/27/2014,-2.011
01/24/2014,-3.126
01/23/2014,-0.422
01/22/2014,0.113
01/21/2014,1.145
01/17/2014,-0.492
01/16/2014,0.662
01/15/2014,-0.068
01/14/2014,2.353
01/13/2014,-0.637
01/10/2014,-0.005
01/09/2014,-0.963
01/08/2014,0.208
01/07/2014,1.928
01/06/2014,1.115
01/03/2014,-0.729
01/02/2014,-0.677
12/31/2013,1.014
12/30/2013,-0.799
12/27/2013,0.084
12/26/2013,0.505
12/24/2013,-0.292
12/23/2013,1.316
12/20/2013,1.326
12/19/2013,0.136
12/18/2013,1.392
12/17/2013,-0.291
12/16/2013,1.149
12/13/2013,-0.857
12/12/2013,-0.68
12/11/2013,-0.679
12/10/2013,0.605
12/09/2013,0.773
12/06/2013,1.185
12/05/2013,-0.079
12/04/2013,0.467
12/03/2013,-0.116
12/02/2013,-0.482
11/29/2013,-0.331
11/27/2013,0.444
11/26/2013,1.193
11/25/2013,1.361
11/22/2013,-0.211
11/21/2013,1.15
11/20/2013,-0.282
11/19/2013,-0.616
11/18/2013,-0.194
11/15/2013,-0.161
11/14/2013,0.267
11/13/2013,2.045
11/12/2013,0.118
11/11/2013,-0.535
11/08/2013,0.802
11/07/2013,-1.447
11/06/2013,0.12
11/05/2013,-0.447
11/04/2013,-0.091
11/01/2013,-0.343
10/31/2013,0.016
10/30/2013,-0.562
10/29/2013,2.093
10/28/2013,-0.02
10/25/2013,-1.009
10/24/2013,-0.568
10/23/2013,2.424
10/22/2013,0.369
10/21/2013,-0.802
10/18/2013,13.796
10/17/2013,-1.029
10/16/2013,1.816
10/15/2013,0.673
10/14/2013,0.472
10/11/2013,0.432
10/10/2013,1.447
10/09/2013,0.257
10/08/2013,-1.394
10/07/2013,-0.758
10/04/2013,-0.427
10/03/2013,-1.34
10/02/2013,0.112
10/01/2013,1.266
09/30/2013,-0.055
09/27/2013,-0.203
09/26/2013,0.107
09/25/2013,-1.084
09/24/2013,0.038
09/23/2013,-1.839
09/20/2013,0.525
09/19/2013,-0.546
09/18/2013,1.942
09/17/2013,-0.186
09/16/2013,-0.147
09/13/2013,-0.447
09/12/2013,-0.349
09/11/2013,0.846
09/10/2013,0.07
09/09/2013,0.963
09/06/2013,0.002
09/05/2013,0.91
09/04/2013,1.308
09/03/2013,1.592
08/30/2013,-0.997
08/29/2013,0.811
08/28/2013,-0.188
08/27/2013,-1.874
08/26/2013,-0.439
08/23/2013,-0.401
08/22/2013,0.504
08/21/2013,0.452
08/20/2013,-0.027
08/19/2013,1.02
08/16/2013,-0.32
08/15/2013,-1.167
08/14/2013,-1.298
08/13/2013,-0.481
08/12/2013,-0.55
08/09/2013,-0.252
08/08/2013,0.226
08/07/2013,-0.66
08/06/2013,-0.931
08/05/2013,-0.173
08/02/2013,0.26
08/01/2013,1.855
07/31/2013,-0.356
07/30/2013,0.98
07/29/2013,-0.348
07/26/2013,-0.265
07/25/2013,-1.683
07/24/2013,-0.1
07/23/2013,-0.758
07/22/2013,1.573
07/19/2013,-1.546
07/18/2013,-0.857
07/17/2013,-0.115
07/16/2013,-0.549
07/15/2013,0.183
07/12/2013,0.3
07/11/2013,1.573
07/10/2013,0.083
07/09/2013,0.017
07/08/2013,1.298
07/05/2013,0.796
07/03/2013,0.467
07/02/2013,-0.627
07/01/2013,0.853
06/28/2013,0.376
06/27/2013,0.391
06/26/2013,0.86
06/25/2013,-0.413
